title,url,time_published,source,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
Skyharbour Announces Brokered Private Placement for Gross Proceeds of up to C$8.5 Million,https://www.benzinga.com/pressreleases/24/12/g42276694/skyharbour-announces-brokered-private-placement-for-gross-proceeds-of-up-to-c-8-5-million,2024-12-02 21:07:43,Benzinga,0.256557,Somewhat-Bullish,"[{'ticker': 'RIO', 'relevance_score': '0.021978', 'ticker_sentiment_score': '0.126307', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BURCF', 'relevance_score': '0.021978', 'ticker_sentiment_score': '0.121071', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MEDAF', 'relevance_score': '0.021978', 'ticker_sentiment_score': '0.121071', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'VOYRF', 'relevance_score': '0.021978', 'ticker_sentiment_score': '0.121071', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BSLK', 'relevance_score': '0.021978', 'ticker_sentiment_score': '0.121071', 'ticker_sentiment_label': 'Neutral'}]"
"Top Stock Picks for Week of December 2, 2024",https://www.zacks.com/stock/news/2377916/top-stock-picks-for-week-of-december-2-2024,2024-12-02 21:09:00,Zacks Commentary,0.240616,Somewhat-Bullish,"[{'ticker': 'MSFT', 'relevance_score': '0.11983', 'ticker_sentiment_score': '0.118872', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.11983', 'ticker_sentiment_score': '0.16565', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MORN', 'relevance_score': '0.11983', 'ticker_sentiment_score': '0.118872', 'ticker_sentiment_label': 'Neutral'}]"
"Iris Energy Limited Investors: Please contact the Portnoy Law Firm to recover your losses. December 6, 2024 Deadline to file Lead Plaintiff Motion - Iris Energy  ( NASDAQ:IREN ) ",https://www.benzinga.com/pressreleases/24/12/g42276928/iris-energy-limited-investors-please-contact-the-portnoy-law-firm-to-recover-your-losses-december-,2024-12-02 21:13:14,Benzinga,0.060435,Neutral,"[{'ticker': 'IREN', 'relevance_score': '0.742397', 'ticker_sentiment_score': '-0.121415', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.112532', 'ticker_sentiment_score': '0.110407', 'ticker_sentiment_label': 'Neutral'}]"
Treace Appoints Guy Guglielmino as Chief Commercial Officer - Treace Medical Concepts  ( NASDAQ:TMCI ) ,https://www.benzinga.com/pressreleases/24/12/g42276961/treace-appoints-guy-guglielmino-as-chief-commercial-officer,2024-12-02 21:15:00,Benzinga,0.35656,Bullish,"[{'ticker': 'ENOV', 'relevance_score': '0.122269', 'ticker_sentiment_score': '0.036354', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TMCI', 'relevance_score': '0.299478', 'ticker_sentiment_score': '0.254909', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'BLCO', 'relevance_score': '0.061315', 'ticker_sentiment_score': '0.032', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.061315', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]"
Capricor Therapeutics to Present at Upcoming Investor Conferences - Capricor Therapeutics  ( NASDAQ:CAPR ) ,https://www.benzinga.com/pressreleases/24/12/g42276959/capricor-therapeutics-to-present-at-upcoming-investor-conferences,2024-12-02 21:15:00,Benzinga,0.190342,Somewhat-Bullish,"[{'ticker': 'META', 'relevance_score': '0.056275', 'ticker_sentiment_score': '0.087', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CAPR', 'relevance_score': '0.222327', 'ticker_sentiment_score': '0.119329', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NPNKF', 'relevance_score': '0.056275', 'ticker_sentiment_score': '0.148017', 'ticker_sentiment_label': 'Neutral'}]"
Capricor Therapeutics to Present at Upcoming Investor Conferences,https://www.globenewswire.com/news-release/2024/12/02/2990156/0/en/Capricor-Therapeutics-to-Present-at-Upcoming-Investor-Conferences.html,2024-12-02 21:15:00,GlobeNewswire,0.18343,Somewhat-Bullish,"[{'ticker': 'META', 'relevance_score': '0.06179', 'ticker_sentiment_score': '0.088117', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CAPR', 'relevance_score': '0.183895', 'ticker_sentiment_score': '0.106221', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NPNKF', 'relevance_score': '0.06179', 'ticker_sentiment_score': '0.1594', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Certara Showcases 2024 Research Wins With Over 100 Papers Published - Certara  ( NASDAQ:CERT ) ,https://www.benzinga.com/pressreleases/24/12/g42276957/certara-showcases-2024-research-wins-with-over-100-papers-published,2024-12-02 21:15:00,Benzinga,0.138867,Neutral,"[{'ticker': 'DSSMY', 'relevance_score': '0.068112', 'ticker_sentiment_score': '0.195875', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CERT', 'relevance_score': '0.607283', 'ticker_sentiment_score': '0.304671', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Certara Showcases 2024 Research Wins With Over 100 Papers Published,https://www.globenewswire.com/news-release/2024/12/02/2990155/0/en/Certara-Showcases-2024-Research-Wins-With-Over-100-Papers-Published.html,2024-12-02 21:15:00,GlobeNewswire,0.18184,Somewhat-Bullish,"[{'ticker': 'CERT', 'relevance_score': '0.713878', 'ticker_sentiment_score': '0.248901', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Crypto-Related Shares Fall Today: What's Going On? - Grayscale Bitcoin Mini Trust  ( BTC )  Common units of fractional undivided beneficial interest  ( ARCA:BTC ) ,https://www.benzinga.com/trading-ideas/movers/24/12/42277090/crypto-related-shares-fall-today-whats-going-on,2024-12-02 21:16:44,Benzinga,0.14615,Neutral,"[{'ticker': 'HUT', 'relevance_score': '0.535653', 'ticker_sentiment_score': '0.077867', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'RIOT', 'relevance_score': '0.416844', 'ticker_sentiment_score': '-0.043216', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.535653', 'ticker_sentiment_score': '0.143873', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:ETH', 'relevance_score': '0.145145', 'ticker_sentiment_score': '0.057191', 'ticker_sentiment_label': 'Neutral'}]"
Why Dutch Bros Stock Skyrocketed 62% Last Month,https://www.fool.com/investing/2024/12/02/why-dutch-bros-stock-skyrocketed-62-last-month/,2024-12-02 21:19:09,Motley Fool,0.335286,Somewhat-Bullish,"[{'ticker': 'SPGI', 'relevance_score': '0.083251', 'ticker_sentiment_score': '0.13824', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BROS', 'relevance_score': '0.790287', 'ticker_sentiment_score': '0.527434', 'ticker_sentiment_label': 'Bullish'}]"
"Zscaler Q1 Earnings: Revenue Beat, EPS Beat, New AI Opportunities, Shares Slide - Zscaler  ( NASDAQ:ZS ) ",https://www.benzinga.com/news/earnings/24/12/42277443/zscaler-q1-earnings-revenue-beat-eps-beat-new-ai-opportunities-shares-slide,2024-12-02 21:25:59,Benzinga,0.319025,Somewhat-Bullish,"[{'ticker': 'ZS', 'relevance_score': '0.753462', 'ticker_sentiment_score': '0.52568', 'ticker_sentiment_label': 'Bullish'}]"
Voyageur Mineral Explorers Corp. Announces Board Appointment and Equity Incentive Grant,https://www.globenewswire.com/news-release/2024/12/02/2990158/0/en/Voyageur-Mineral-Explorers-Corp-Announces-Board-Appointment-and-Equity-Incentive-Grant.html,2024-12-02 21:30:00,GlobeNewswire,0.286657,Somewhat-Bullish,"[{'ticker': 'TSLA', 'relevance_score': '0.111488', 'ticker_sentiment_score': '0.096758', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CNOBF', 'relevance_score': '0.111488', 'ticker_sentiment_score': '0.023281', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CPEFF', 'relevance_score': '0.111488', 'ticker_sentiment_score': '0.023281', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BITF', 'relevance_score': '0.111488', 'ticker_sentiment_score': '0.023281', 'ticker_sentiment_label': 'Neutral'}]"
Lumina Gold Announces US$6.0 Million Wheaton Precious Draw - Lumina Gold  ( OTC:LMGDF ) ,https://www.benzinga.com/pressreleases/24/12/n42277580/lumina-gold-announces-us-6-0-million-wheaton-precious-draw,2024-12-02 21:30:00,Benzinga,0.217724,Somewhat-Bullish,"[{'ticker': 'CURN', 'relevance_score': '0.042271', 'ticker_sentiment_score': '-0.035808', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.042271', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WPM', 'relevance_score': '0.084423', 'ticker_sentiment_score': '0.141612', 'ticker_sentiment_label': 'Neutral'}]"
"NN, Inc. Executive Management to Present at the Noble Capital Markets 20th Annual Emerging Growth Equity Conference - NN  ( NASDAQ:NNBR ) ",https://www.benzinga.com/pressreleases/24/12/g42277565/nn-inc-executive-management-to-present-at-the-noble-capital-markets-20th-annual-emerging-growth-eq,2024-12-02 21:30:00,Benzinga,0.191399,Somewhat-Bullish,"[{'ticker': 'NNBR', 'relevance_score': '0.479683', 'ticker_sentiment_score': '0.212733', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
"NN, Inc. Executive Management to Present at the Noble Capital Markets 20th Annual Emerging Growth Equity Conference",https://www.globenewswire.com/news-release/2024/12/02/2990160/0/en/NN-Inc-Executive-Management-to-Present-at-the-Noble-Capital-Markets-20th-Annual-Emerging-Growth-Equity-Conference.html,2024-12-02 21:30:00,GlobeNewswire,0.147364,Neutral,"[{'ticker': 'NNBR', 'relevance_score': '0.578355', 'ticker_sentiment_score': '0.240087', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
UPDATE -- nCino to Participate in Upcoming Investor Conferences,https://www.globenewswire.com/news-release/2024/12/02/2990167/0/en/UPDATE-nCino-to-Participate-in-Upcoming-Investor-Conferences.html,2024-12-02 21:35:00,GlobeNewswire,0.51276,Bullish,"[{'ticker': 'NCNO', 'relevance_score': '0.850133', 'ticker_sentiment_score': '0.830406', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'BCS', 'relevance_score': '0.18967', 'ticker_sentiment_score': '0.102429', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WMGTF', 'relevance_score': '0.18967', 'ticker_sentiment_score': '0.321508', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'BNS', 'relevance_score': '0.18967', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]"
UPDATE -- nCino to Participate in Upcoming Investor Conferences - Ncino  ( NASDAQ:NCNO ) ,https://www.benzinga.com/pressreleases/24/12/g42277927/update-ncino-to-participate-in-upcoming-investor-conferences,2024-12-02 21:35:52,Benzinga,0.461556,Bullish,"[{'ticker': 'NCNO', 'relevance_score': '0.891977', 'ticker_sentiment_score': '0.811566', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'BCS', 'relevance_score': '0.279015', 'ticker_sentiment_score': '0.094779', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WMGTF', 'relevance_score': '0.141726', 'ticker_sentiment_score': '0.252518', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'BNS', 'relevance_score': '0.141726', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]"
How Dick's Sporting Goods Is Succeeding,https://www.fool.com/investing/2024/12/02/how-dicks-sporting-goods-is-succeeding/,2024-12-02 21:38:00,Motley Fool,0.174199,Somewhat-Bullish,"[{'ticker': 'NFLX', 'relevance_score': '0.007201', 'ticker_sentiment_score': '0.068867', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TGT', 'relevance_score': '0.007201', 'ticker_sentiment_score': '0.127131', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'LMND', 'relevance_score': '0.0934', 'ticker_sentiment_score': '0.065455', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BBY', 'relevance_score': '0.028798', 'ticker_sentiment_score': '0.093591', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'KSS', 'relevance_score': '0.071914', 'ticker_sentiment_score': '0.099893', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MORN', 'relevance_score': '0.007201', 'ticker_sentiment_score': '0.047513', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BROS', 'relevance_score': '0.021601', 'ticker_sentiment_score': '0.122297', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CMG', 'relevance_score': '0.014401', 'ticker_sentiment_score': '0.09333', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DKS', 'relevance_score': '0.007201', 'ticker_sentiment_score': '0.066055', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'M', 'relevance_score': '0.028798', 'ticker_sentiment_score': '0.059242', 'ticker_sentiment_label': 'Neutral'}]"
Trade Desk Shares Are On The Rise Today: What You Need To Know - Trade Desk  ( NASDAQ:TTD ) ,https://www.benzinga.com/general/entertainment/24/12/42278221/trade-desk-shares-are-on-the-rise-today-what-you-need-to-know,2024-12-02 21:42:09,Benzinga,0.341155,Somewhat-Bullish,"[{'ticker': 'ROKU', 'relevance_score': '0.548363', 'ticker_sentiment_score': '0.509141', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'TTD', 'relevance_score': '0.548363', 'ticker_sentiment_score': '0.409946', 'ticker_sentiment_label': 'Bullish'}]"
"Immutable Announcement: If You Have Suffered Losses in IMX Tokens, You Are Encouraged to Contact The Rosen Law Firm About Your Rights",https://www.benzinga.com/pressreleases/24/12/g42278506/immutable-announcement-if-you-have-suffered-losses-in-imx-tokens-you-are-encouraged-to-contact-the,2024-12-02 21:54:00,Benzinga,0.208026,Somewhat-Bullish,"[{'ticker': 'META', 'relevance_score': '0.090474', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]"
"Symbotic Inc. Announcement: If You Have Suffered Losses in Symbotic Inc.  ( NASDAQ: SYM ) , You Are Encouraged to Contact The Rosen Law Firm About Your Rights - Symbotic  ( NASDAQ:SYM ) ",https://www.benzinga.com/pressreleases/24/12/g42278581/symbotic-inc-announcement-if-you-have-suffered-losses-in-symbotic-inc-nasdaq-sym-you-are-encourage,2024-12-02 21:58:00,Benzinga,0.170549,Somewhat-Bullish,"[{'ticker': 'META', 'relevance_score': '0.078099', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SYM', 'relevance_score': '0.443626', 'ticker_sentiment_score': '-0.014978', 'ticker_sentiment_label': 'Neutral'}]"
Bionomics Reminds Shareholders to Cast their Vote for Re-Domiciliation from Australia to the United States,https://www.globenewswire.com/news-release/2024/12/02/2990184/0/en/Bionomics-Reminds-Shareholders-to-Cast-their-Vote-for-Re-Domiciliation-from-Australia-to-the-United-States.html,2024-12-02 22:01:00,GlobeNewswire,0.124477,Neutral,"[{'ticker': 'BNOX', 'relevance_score': '0.805954', 'ticker_sentiment_score': '0.20851', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
"Extended Reality  ( XR )  Market to Grow by USD 1.04 Trillion  ( 2024-2028 ) , Driven by Advances in Sensor Technology, with AI Impacting Market Trends - Technavio",https://www.benzinga.com/pressreleases/24/12/n42278825/extended-reality-xr-market-to-grow-by-usd-1-04-trillion-2024-2028-driven-by-advances-in-sensor-tec,2024-12-02 22:05:00,Benzinga,0.310754,Somewhat-Bullish,"[{'ticker': 'LNVGF', 'relevance_score': '0.025679', 'ticker_sentiment_score': '0.058678', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.05133', 'ticker_sentiment_score': '0.086646', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.05133', 'ticker_sentiment_score': '0.086646', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.025679', 'ticker_sentiment_score': '0.058678', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CAJFF', 'relevance_score': '0.025679', 'ticker_sentiment_score': '0.058678', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ABLZF', 'relevance_score': '0.025679', 'ticker_sentiment_score': '0.058678', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DDD', 'relevance_score': '0.025679', 'ticker_sentiment_score': '0.058678', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SEKEF', 'relevance_score': '0.025679', 'ticker_sentiment_score': '0.058678', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ACN', 'relevance_score': '0.025679', 'ticker_sentiment_score': '0.058678', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.05133', 'ticker_sentiment_score': '0.086646', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SNEJF', 'relevance_score': '0.025679', 'ticker_sentiment_score': '0.058678', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SSNLF', 'relevance_score': '0.025679', 'ticker_sentiment_score': '0.069569', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ROP', 'relevance_score': '0.025679', 'ticker_sentiment_score': '0.058678', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'QCOM', 'relevance_score': '0.05133', 'ticker_sentiment_score': '0.071', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'INTC', 'relevance_score': '0.025679', 'ticker_sentiment_score': '0.058678', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PTC', 'relevance_score': '0.025679', 'ticker_sentiment_score': '0.058678', 'ticker_sentiment_label': 'Neutral'}]"
Zscaler  ( ZS )  Q1 Earnings and Revenues Surpass Estimates,https://www.zacks.com/stock/news/2377920/zscaler-zs-q1-earnings-and-revenues-surpass-estimates,2024-12-02 22:20:02,Zacks Commentary,0.153048,Somewhat-Bullish,"[{'ticker': 'BLIN', 'relevance_score': '0.20997', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ZS', 'relevance_score': '0.405651', 'ticker_sentiment_score': '0.146971', 'ticker_sentiment_label': 'Neutral'}]"
"NASDAQ-Listed Weed Stock, High Tides Surges Over 21% In Last Two Sessions - High Tide  ( NASDAQ:HITI ) ",https://www.benzinga.com/24/12/42279343/nasdaq-listed-weed-stock-hiti-surges-over-21-in-the-last-two-sessions,2024-12-02 22:30:12,Benzinga,0.364871,Bullish,"[{'ticker': 'HITI', 'relevance_score': '0.455525', 'ticker_sentiment_score': '0.531044', 'ticker_sentiment_label': 'Bullish'}]"
Does Five9  ( FIVN )  Have the Potential to Rally 25.17% as Wall Street Analysts Expect?,https://www.zacks.com/stock/news/2377934/does-five9-fivn-have-the-potential-to-rally-2517-as-wall-street-analysts-expect,2024-12-02 22:44:37,Zacks Commentary,0.245619,Somewhat-Bullish,"[{'ticker': 'FIVN', 'relevance_score': '0.286864', 'ticker_sentiment_score': '0.387382', 'ticker_sentiment_label': 'Bullish'}]"
"Wall Street Analysts Predict a 39.67% Upside in Paragon 28, Inc.  ( FNA ) : Here's What You Should Know",https://www.zacks.com/stock/news/2377935/wall-street-analysts-predict-a-3967-upside-in-paragon-28-inc-fna-heres-what-you-should-know,2024-12-02 22:44:37,Zacks Commentary,0.227261,Somewhat-Bullish,"[{'ticker': 'FNA', 'relevance_score': '0.286193', 'ticker_sentiment_score': '0.358782', 'ticker_sentiment_label': 'Bullish'}]"
Oracle  ( ORCL )  Stock Sinks As Market Gains: Here's Why,https://www.zacks.com/stock/news/2377927/oracle-orcl-stock-sinks-as-market-gains-heres-why,2024-12-02 22:45:11,Zacks Commentary,0.167783,Somewhat-Bullish,"[{'ticker': 'ORCL', 'relevance_score': '0.541943', 'ticker_sentiment_score': '0.215575', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
BlackBerry  ( BB )  Stock Slides as Market Rises: Facts to Know Before You Trade,https://www.zacks.com/stock/news/2377928/blackberry-bb-stock-slides-as-market-rises-facts-to-know-before-you-trade,2024-12-02 22:45:11,Zacks Commentary,0.182277,Somewhat-Bullish,"[{'ticker': 'BB', 'relevance_score': '0.482078', 'ticker_sentiment_score': '0.161571', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Adobe Systems  ( ADBE )  Rises Yet Lags Behind Market: Some Facts Worth Knowing,https://www.zacks.com/stock/news/2377926/adobe-systems-adbe-rises-yet-lags-behind-market-some-facts-worth-knowing,2024-12-02 22:45:11,Zacks Commentary,0.222554,Somewhat-Bullish,"[{'ticker': 'ADBE', 'relevance_score': '0.625937', 'ticker_sentiment_score': '0.273171', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Western Digital  ( WDC )  Exceeds Market Returns: Some Facts to Consider,https://www.zacks.com/stock/news/2377943/western-digital-wdc-exceeds-market-returns-some-facts-to-consider,2024-12-02 22:50:06,Zacks Commentary,0.204095,Somewhat-Bullish,"[{'ticker': 'WDC', 'relevance_score': '0.577173', 'ticker_sentiment_score': '0.252225', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
